Publicity name,Primary discipline,Secondary discipline,Primary institution type,Secondary institution type,Web site,Phone number,EMAIL,email_2nd,ad1,ad2,cit,STA,zip,Primary contact person,Mission statement collected for Operating Support applicants only and updated with each year if organization reapplies,APP,FY,LNAM sort,Legal name
Katha Dance Theatre,"Dance, ethnic/jazz/folk-ins",Folk/Traditional dance,Arts Service Organization,Performing Group,http://www.kathadance.org/,(763) 533-0756 ,info@kathadance.org,,5444 Orchard Ave N,,Crystal,MN,55429-3246,"Rita Mustaphi, Artistic Director","Katha Dance Theatre creates, performs, and educates through the arts, dance, music, poetry, and storytelling. Rooted in Kathak, the classical dance style of North India, Katha Dance Theatre is dedicated to making dance accessible, inclusive, and relevant. It enhances the community by bridging diverse cultures and audiences to contribute to life's infinite artistic expressions.",73381,2019,Katha Dance Theatre,Katha Dance Theatre
Lakeville Area Arts Center,Crafts,Music,Arts Center,,http://lakevilleareaartscenter.com/149/Lakeville-Area-Arts-Center,(952) 985-4640 ,jmasiarchin@lakevillemn.gov,,20965 Holyoke Ave,,Lakeville,MN,55044,"Joseph Masiarchin, Arts Center Manager",The Lakeville Area Arts Center promotes cultural enrichment and artistic experiences for the community by providing an environment that fosters creative expression and offers a myriad of artistic and educational opportunities.,73053,2019,Lakeville Area Arts Center,Lakeville Area Arts Center
Twin Cities Ballet of Minnesota,"Dance, ballet",,Performing Group for Youth,,http://twincitiesballet.org/,(952) 452-3163 ,tianna8vogt@charter.net,info@twincitiesballet.org,16368 Kenrick Ave,,Lakeville,MN,55044,"Tianna Vogt, Event/Development Admin","Twin Cities Ballet of Minnesota is an innovative ballet company that creates high quality, professional performances and meaningful educational opportunities for audiences and participants alike.",71394,2019,Lakeville City Ballet,Lakeville City Ballet
Lanesboro Arts,Multidisciplinary,,Arts Center,,https://www.lanesboroarts.org/,(507) 467-2446 ,kara@lanesboroarts.org,info@lanesboroarts.org,PO Box 152,,Lanesboro,MN,55949,"Kara Maloney, Advancement Director",Lanesboro Arts serves as a regional catalyst for artistic excellence and educational development in providing diverse art experiences for people of all ages.,73380,2019,Lanesboro Arts Center,Lanesboro Arts Center
The Loft Literary Center,Literature,,Arts Center,,https://www.loft.org/,(612) 215-2575x 2580,bschoeppler@loft.org,,1011 Washington Ave S,Open Book Ste 200,Minneapolis,MN,55415-1278,"Beth Schoeppler, Managing Director","The Loft advances the artistic development of writers, fosters a thriving literary community, and inspires a passion for literature.",73149,2019,"Loft, Inc.","Loft, Inc."
Lundstrum Center for the Performing Arts,Multidisciplinary,Theater,School of the Arts,Performance Facility,https://lundstrum.org,(651) 521-2600x 820,giving@lundstrum.org,,1617 2nd St N,,Minneapolis,MN,55411,"Patty Lefaive, Operations Manager","Located in North Minneapolis, the mission of Lundstrum Performing Arts is to cultivate a love and knowledge of the performing arts so that young people will discover their unique gifts, develop their depth of character, and imagine new possibilities for their lives, ensuring access for all through scholarship support.",73095,2019,Lundstrum Center for the Performing Arts,Lundstrum Center for the Performing Arts
Lyra Baroque Orchestra,"Music, orchestral","Music, chamber",Performing Group,,http://lyrabaroque.org/,(651) 321-2214 ,tami@lyrabaroque.org,info@lyrabaroque.org,275 4th St E,Ste 280,St Paul,MN,55101,"Tami Morse, Executive Director",The mission of the Lyra Baroque Orchestra is to inspire and enrich the community through exceptional performances of baroque music on historic instruments.,73398,2019,"Lyra, Inc.","Lyra, Inc."
Lyric Arts Main Street Stage,Theater,,Performing Group - Community,,https://www.lyricarts.org/,(763) 233-0805 ,gina@lyricarts.org,,420 Main St E,,Anoka,MN,55303,"Gina Sauer, Dev/Comm Engagement Dir","Lyric Arts' mission is to enrich lives by creating meaningful performing arts experiences that ignite the imagination, inspire the spirit, and engage the community.",73121,2019,"Lyric Arts Company of Anoka, Inc.","Lyric Arts Company of Anoka, Inc."
MacPhail Center for Music,Music,,Arts Center,,https://www.macphail.org/,(612) 321-0100 ,montoya.jenelle@macphail.org,,501 2nd St S,,Minneapolis,MN,55401-2383,"Jenelle Montoya, Grants Manager",MacPhail Center for Music's mission is to transform lives and communities through exceptional music learning.,72866,2019,MacPhail Center for Music,MacPhail Center for Music
MacRostie Art Center,Visual arts,Multidisciplinary,Arts Center,Gallery/Exhibition Space,https://www.macrostieartcenter.org/,(218) 326-2697 ,katie@macrostieartcenter.org,,405 1st Ave NW,,Grand Rapids,MN,55744-2617,"Katie Marshall, Executive Director",MacRostie Art Center: Inspiring a creative community.,73379,2019,MacRostie Art Center,MacRostie Art Center
Mankato Symphony Orchestra,"Music, orchestral","Music, chamber",Performing Group,,http://www.mankatosymphony.com/,(507) 625-8880 ,hbretz@mankatosymphony.com,mso@mankatosymphony.com,PO Box 645,,Mankato,MN,56002-0645,"Hannah Bretz, Executive Director","The mission of the Mankato Symphony Orchestra is to create emotion packed, high quality musical experiences and promote music education in and for south central Minnesota.",73326,2019,"Mankato Symphony Orchestra Association, Inc.","Mankato Symphony Orchestra Association, Inc."
Merrill Community Arts Center,"Theater, general",Music,Arts Center,Performing Group,http://merrillartscenter.org/,(612) 201-4000 ,barbe@merrillartscenter.org,,380 Rivertown Dr,Ste 200,Woodbury,MN,55125,"Barbe Marshall Hansen, Executive Director",Merrill Community Arts Center is committed to building community by providing opportunities for interaction that makes arts accessible to all people.,73318,2019,Merrill Community Arts Center,Merrill Community Arts Center
Midway Contemporary Art,"Visual arts, experimental",Media Arts,Gallery/Exhibition Space,Library,https://www.midwayart.org/,(612) 605-4504 ,johnr@midwayart.org,,527 2nd Ave SE,,Minneapolis,MN,55414-1103,"John Rasmussen, Executive Director",Midway Contemporary Art is a nonprofit organization that supports the creation of and reflection upon visual art. Midway facilitates significant new developments in the field and presents audiences with intimate access to visual culture.,73314,2019,Midway Contemporary Art,Midway Contemporary Art
Milkweed Editions,Literature,,Independent Press,,https://www.milkweed.org/,(612) 332-3192 ,meagan_bachmayer@milkweed.org,,1011 Washington Ave S,Ste 300,Minneapolis,MN,55415-3015,"Meagan Bachmayer, Development Director","The mission of Milkweed Editions is to identify, nurture, and publish transformative literature, and build an engaged community around it.",73116,2019,"Milkweed Editions, Inc.","Milkweed Editions, Inc."
Mill City Summer Opera,Opera,"Opera, musical theater",Performing Group,Arts Camp/Institute,https://www.millcitysummeropera.org/,(612) 916-7333 ,karenbrooks1000@gmail.com,,3208 Lake St W,,Minneapolis,MN,55416,"Karen Brooks, Founder and Board Chair","Mill City Summer Opera presents innovative and world-class opera in nontraditional venues, engaging the community and its visitors through financially accessible performances for new and younger audiences, and developing diverse audiences by offering outreach to underserved youth.",73335,2019,Mill City Summer Opera,Mill City Summer Opera
Minneapolis Pops Orchestra Association,"Music, orchestral",,Performing Group,,https://www.mplspops.org/,(612) 219-1707 ,conniemartin800@gmail.com,,2712 41st Ave S,,Minneapolis,MN,55406,"Constance Martin, Grant Writer/Musician","The Minneapolis Pops Orchestra brings to the Twin Cities community the power and pleasure of live orchestra concerts performed by professional musicians, free of charge.",73329,2019,Minneapolis Pops Orchestra Association,Minneapolis Pops Orchestra Association
Minnesota Bluegrass,Folk/Traditional music,"Music, ethnic/folk-inspired",Arts Service Organization,Fair/Festival,http://www.minnesotabluegrass.org/,(651) 456-8919 ,info@minnesotabluegrass.org,,PO Box 16408,,Minneapolis,MN,55416-0408,"Darcy Schatz, Office Administrator",The mission of the Minnesota Bluegrass and Old-Time Music Association is to preserve and promote bluegrass and old-time string band music in Minnesota.,73567,2019,Minnesota Bluegrass and Old-Time Music Association,Minnesota Bluegrass and Old-Time Music Association
Minnesota Boychoir,"Music, choral",,Performing Group for Youth,,http://www.boychoir.org/,(612) 292-3219 ,ack@boychoir.org,msj@boychoir.org,75 5th St W,Ste 401,St Paul,MN,55102,"Anna Keyes, Managing Director","The Minnesota Boychoir, through inspirational music and performance, develops exceptional character and musical ability in boys of many backgrounds.",73307,2019,Minnesota Boychoir,Minnesota Boychoir
"Minnesota Brass, Inc.",Music,Interdisciplinary,Performing Group,,http://www.mnbrassinc.org,(651) 283-0243 ,whetstone099@gmail.com,director@mnbrass.org,4177 Kaitlin Dr,,Vadnais Heights,MN,55127,"Robert Gurrola, Board Member, Legal Advisor","Minnesota Brass shares a unique passion for the live performing arts by producing ensembles and events, rooted in the drum and bugle corps tradition, that challenge our members to reach their full potential while inspiring our audiences.",71706,2019,"Minnesota Brass, Inc.","Minnesota Brass, Inc."
Minnesota Center for Book Arts,Visual arts,"Crafts, paper",Arts Center,Gallery/Exhibition Space,https://www.mnbookarts.org/,(612) 215-2520 ,akaler@mnbookarts.org,,1011 Washington Ave S,Ste 100,Minneapolis,MN,55415,"Amanda Kaler, Development & Oper Director",The mission of Minnesota Center for Book Arts is to lead the advancement of the book as an evolving art form.,73406,2019,Minnesota Center for Book Arts,Minnesota Center for Book Arts
Minnesota Chorale,"Music, choral",,Performing Group,,https://www.mnchorale.org/,(612) 333-4866 ,bob@mnchorale.org,,1200 Marquette Ave,Ste 100,Minneapolis,MN,55403,"Bob Peskin, Executive Director","The Minnesota Chorale celebrates the human voice and its power to educate, enrich, unite, and inspire by performing an ever widening repertory of choral music, at the highest artistic level, for a broad community of audiences.",73400,2019,Minnesota Chorale,Minnesota Chorale
Minnesota Dance Theatre and School,"Dance, ballet","Dance, modern",Performing Group,School of the Arts,http://www.mndance.org/,(612) 338-0627x 3,justin.leaf@mndance.org,,528 Hennepin Ave,6th Fl,Minneapolis,MN,55403-1847,"Justin Leaf, Grants Manager",The mission of the Minnesota Dance Theatre and School is to present masterful and inspiring dance through performance and education.,73342,2019,Minnesota Dance Theatre and School,Minnesota Dance Theatre and School
Minnesota Fringe,Theater,Multidisciplinary,Fair/Festival,,http://www.fringefestival.org/,(612) 260-6463x 1,dawn@fringefestival.org,,79 13th Ave NE,Ste 112,Minneapolis,MN,55413,"Dawn Bentley, Executive Director","The mission of the Minnesota Fringe Festival is to connect adventurous artists with adventurous audiences by creating open, supportive forums for free and diverse artistic expression.",73364,2019,Minnesota Fringe Festival,Minnesota Fringe Festival
Minnesota Jewish Theatre Company,Theater,Theater for young audiences,Performing Group,,http://www.mnjewishtheatre.org/,(651) 647-4315 ,Barbara@mnjewishtheatre.org,info@mnjewishtheatre.org,PO Box 16155,,St Paul,MN,55116-0155,"Barbara Brooks, Producing Artistic Director","Minnesota Jewish Theatre Company ignites the hearts and minds of people of all cultural backgrounds by producing theater of the highest artistic standards. Rooted in Jewish content, our work explores differences, illuminates commonalities, and fosters greater understanding among all people.",73320,2019,Minnesota Jewish Theatre Company,Minnesota Jewish Theatre Company
Minnesota Marine Art Museum,Visual arts,,Museum - Art,,https://www.mmam.org/,(507) 474-6626 ,ncdupree@mmam.org,,800 Riverview Dr,,Winona,MN,55987-2272,"Nicole Chamberlain-Dupree, Executive Director",The Minnesota Marine Art Museum engages visitors in meaningful visual art experiences through education and exhibitions that explore the historic and ongoing human relationship with water. ,71584,2019,Minnesota Marine Art Museum,Minnesota Marine Art Museum
MMAA,Visual arts,,Museum - Art,,https://www.mmaa.org/,(651) 797-2571 ,kmakholm@mmaa.org,,350 Robert St N,,St Paul,MN,55101,"Kristin Makholm, Executive Director",The mission of the Minnesota Museum of American Art is to inspire people to discover themselves and their communities through American art.,73096,2019,Minnesota Museum of American Art,Minnesota Museum of American Art
Minnesota Orchestra,"Music, orchestral",Music,Performing Group,,https://www.minnesotaorchestra.org/,(612) 371-5600 ,rnygaard@mnorch.org,,1111 Nicollet Mall,,Minneapolis,MN,55403-2477,"Rob Nygaard, Dir, Institutional Giving","The Minnesota Orchestra's mission is to enrich, inspire, and serve our community as an enduring symphony orchestra internationally recognized for its artistic excellence.",71359,2019,Minnesota Orchestral Association,Minnesota Orchestral Association
Minnesota Youth Symphonies,"Music, orchestral",,Performing Group for Youth,Arts Service Organization,https://mnyouthsymphonies.org/,(651) 699-5811 ,afirnstahl@mnyouthsymphonies.org,,790 Cleveland Ave S,Ste 203,St Paul,MN,55116-1958,"Amelia Firnstahl, Executive Director","Minnesota Youth Symphonies (MYS) enriches and inspires talented K-12 orchestral musicians by providing professional, comprehensive educational experiences, and thrills audiences with outstanding performances of orchestral repertoire. MYS cultivates leadership in students by fostering commitment and role modeling, demanding excellence, and encouraging achievement. MYS broadens cultural horizons, develops a sense of community, and cultivates a lifelong love of classical music in audiences comprised of students, families, and concertgoers.",73319,2019,Minnesota Youth Symphonies,Minnesota Youth Symphonies
Minnetonka Center for the Arts,Visual arts,,Arts Center,,https://www.minnetonkaarts.org/,(952) 473-7361x 15,rheaton@minnetonkaarts.org,,2240 North Shore Dr,,Wayzata,MN,55391-9127,"Roxanne Heaton, Executive Director","In the belief that the visual arts are indispensable to a healthy community, it is the mission of the Minnetonka Center for the Arts to provide teaching excellence, quality exhibitions, and cultural enrichment for people of all ages, interests, and abilities.",73177,2019,Minnetonka Center for the Arts,Minnetonka Center for the Arts
Mixed Blood Theatre Company,Theater,,Performing Group,,https://www.mixedblood.com/,(612) 338-0984 ,lia@mixedblood.com,,1501 4th St S,,Minneapolis,MN,55454-1100,"Lia (Carlisa) Rivamonte, Development Manager","Using theater to illustrate and animate, Mixed Blood models pluralism in pursuit of interconnections, shared humanity, and engaged citizenry.",73352,2019,Mixed Blood Theatre Company,Mixed Blood Theatre Company
Mizna,Multidisciplinary,,Arts Center,Literary Magazine,http://www.mizna.org/,(612) 788-6920 ,lana@mizna.org,mizna@mizna.org,2446 University Ave W,Ste 115,St Paul,MN,55114,"Lana Barkawi, Executive/Artistic Director","Mizna is a forum for Arab film, literature, and art. Based in the Twin Cities, Mizna promotes contemporary expressions of Arab American culture. We publish the literary journal Mizna: Prose, Poetry and Art Exploring Arab America, produce the Twin Cities Arab Film Festival, and offer varied other readings, performances, art projects, and community events involving an exceptionally talented and diverse range of Arab and Arab American artists. Mizna's vision is to have local, regional, and national presence, recognition and influence, achieved through the creation, promotion, presentation and sharing of vital Arab American literature, visual and performing arts, film, and media.",73390,2019,Mizna,Mizna
Music Association of Minnetonka,"Music, orchestral",,Performing Group - Community,,http://www.musicassociation.org,(612) 401-5954 ,betty.mackay@comcast.net,,18285 Hwy 7,,Minnetonka,MN,55345,"Betty Mackay, Board President","The mission of the Music Association of Minnetonka is to provide musical opportunities that expand the performers' creative, artistic, and recreational goals and enrich the lives of audiences in the greater metropolitan area.",73283,2019,Music Association of Minnetonka,Music Association of Minnetonka
Nautilus Music-Theater,"Opera, musical theater",Opera/Musical Theater,Performing Group,Arts Camp/Institute,http://www.nautilusmusictheater.org/,(651) 298-9913 ,ben@nautilusmusictheater.org,staff@nautilusmusictheater.org,308 Prince St,Ste 190,St Paul,MN,55101-1437,"Ben Krywosz, Artistic Director","Nautilus Music-Theater provides opportunities for the artistic growth of music theater artists who create, develop, and perform new operas and other forms of music theater that are emotionally expansive, dramatically engaging, and spiritually stimulating. We form partnerships between creators, performers, and audiences in order to contribute to the quality and diversity of new American music theater. We envision an extended family of artists and audiences that uses music theater as a tool to support the individual and collective growth of the human spirit. ",73562,2019,Nautilus Music-Theater,Nautilus Music-Theater
North House Folk School,Folk/Traditional Arts,,School of the Arts,,https://www.northhouse.org/,(218) 387-2968 ,gwright@northhouse.org,,PO Box 759,,Grand Marais,MN,55604-0759,"Greg Wright, Executive Director","The mission of the North House Folk School is to enrich lives and build community by teaching traditional northern crafts in a student centered learning environment that inspires the hands, the heart, and the mind.",73345,2019,North House Folk School,North House Folk School
Northern Clay Center,"Crafts, clay",,Arts Center,,https://www.northernclaycenter.org/,(612) 339-8007x 302,sarahmillfelt@northernclaycenter.org,,2424 E Franklin Ave,,Minneapolis,MN,55406-1027,"Sarah Millfelt, Director","Northern Clay Center advances the ceramic arts for artists, learners, and the community, through education, exhibitions, and artist services.",72827,2019,Northern Clay Center,Northern Clay Center
Northern Lights.mn,Multidisciplinary,"Media Arts, tech/experimental",Cultural Series Organization,Fair/Festival,http://northern.lights.mn//,(612) 284-2815 ,stevedietz@northern.lights.mn,,2751 Hennepin Ave S,Ste 231,Minneapolis,MN,55408-1002,"Steve Dietz, President/Artistic Director","Northern Lights.mn supports artists in the creation and presentation of art in the public sphere, focuses on innovative uses of technology to imagine new interactions between audience, artwork, and place, and explores expanded possibilities for civic engagement.",71374,2019,"Northern Lightsmn, Inc","Northern Lightsmn, Inc"
Northfield Arts Guild,Interdisciplinary,,Arts Center,Gallery/Exhibition Space,https://www.northfieldartsguild.org/,(507) 645-8877 ,office@northfieldartsguild.org,tim@northfieldartsguild.org,304 Division St S,,Northfield,MN,55057-2015,"Tim Peterson, Executive Director","The mission of the Northfield Arts Guild is to inspire our community by developing, supporting, and providing quality, inclusive artistic opportunities.",73407,2019,Northfield Arts Guild,Northfield Arts Guild
One Voice Mixed Chorus,"Music, choral",,Performing Group - Community,,http://www.ovmc.org/,(651) 298-1954 ,marasmail@yahoo.com,info@ovmc.org,732 Holly Ave,Ste Q,St Paul,MN,55104-7125,"Mara Winke, Development Director",One Voice's mission is building community and creating social change by raising our voices in song.,73384,2019,One Voice Mixed Chorus,One Voice Mixed Chorus
Open Eye Figure Theatre,"Theater, puppetry","Theater, general",Performance Facility,,https://www.openeyetheatre.org/,(612) 874-6338 ,susan.haas@openeyetheatre.org,info@openeyetheatre.org,506 24th St E,,Minneapolis,MN,55404-3732,"Susan Haas, Exec/Artistic Director/Founder","Open Eye Figure Theatre creates original image driven theater animating the inanimate on an intimate scale, and builds community by advancing adventurous, artist-driven programming.",73373,2019,Open Eye Figure Theatre,Open Eye Figure Theatre
Ordway Center for the Performing Arts,Multidisciplinary,Dance,Performance Facility,,https://www.ordway.org/,(651) 282-3000 ,mminnema@ordway.org,,345 Washington St,,St Paul,MN,55102-1419,"Micah Minnema, Mgr Foundation/Govt Relations","The Ordway's mission is to be a community magnet that attracts artists and audiences, creating unforgettable shared experiences.",73080,2019,Ordway Center for the Performing Arts,Ordway Center for the Performing Arts
Pangea World Theater,"Theater, general",,Performance Facility,,https://www.pangeaworldtheater.org/,(612) 822-0015 ,ellen@pangeaworldtheater.org,,711 Lake St W,Ste 101,Minneapolis,MN,55408,"Ellen Hinchcliffe, Grant Writer","Pangea World Theater illuminates the human condition, celebrates cultural differences, and promotes human rights by creating and presenting international, multidisciplinary theater.",73401,2019,Pangea World Theater,Pangea World Theater
Paramount Center for the Arts,Multidisciplinary,,Arts Center,Performance Facility,http://www.paramountarts.org/,(320) 259-6453 ,bjohnson@paramountarts.org,,913 St Germain St W,,St Cloud,MN,56301-3460,"Robert Johnson, Executive Director","The mission of the Paramount Center for the Arts is to provide opportunities for artistic production, creative exploration, arts education, and the enjoyment of the arts and entertainment.",73144,2019,Paramount Center for the Arts,Paramount Center for the Arts
Park Square Theatre,"Theater, general",Theater for young audiences,Performing Group,Performing Group for Youth,http://www.parksquaretheatre.org/,(651) 291-7005 ,pease@Parksquaretheatre.org,,408 St Peter St,Ste 110,St Paul,MN,55102,"Michael-jon Pease, Executive Director","Park Square Theatre's mission is to enrich its community by producing and presenting exceptional live theater that touches the heart, engages the mind, and delights the spirt.",71591,2019,Park Square Theatre Company,Park Square Theatre Company
"Paul Bunyan Playhouse, Inc.","Theater, general",Opera,Performance Facility,Performing Group - Community,http://www.paulbunyanplayhouse.org,(218) 751-7270 ,info@paulbunyanplayhouse.org,,314 Beltrami Ave NW,,Bemidji,MN,56601-3105,"Tracy Klefsas, Business Manager","The mission of Paul Bunyan Playhouse is to encourage, cultivate, and promote the performing arts in our region.",73577,2019,"Paul Bunyan Playhouse, Inc.","Paul Bunyan Playhouse, Inc."
Penumbra Theatre,Theater,,Performance Facility,Performing Group,https://www.penumbratheatre.org/,(651) 224-3180 ,amy.thomas@penumbratheatre.org,,270 Kent St N,,St Paul,MN,55102-1744,"Amy Thomas, Director of Marketing","Penumbra Theatre creates artistically excellent and culturally responsible drama that illuminates the human condition through prisms of the African American experience. Through the work of Penumbra's art we open hearts and minds, rehearse strategies for change, and dispel dehumanizing narratives. Through 41 continuous seasons, still we rise.",71258,2019,"Penumbra Theatre Company, Inc.","Penumbra Theatre Company, Inc."
Pillsbury House Theatre,Theater,,Performing Group,,http://pillsburyhouseandtheatre.org/,(612) 787-3620 ,noelr@pillsburyhousetheatre.org,,3501 Chicago Ave S,,Minneapolis,MN,55407,"Noël Raymond, Co-Artistic Director","Pillsbury House Theatre creates challenging theater to inspire choice, change, and connection.",72867,2019,Pillsbury United Communities,Pillsbury United Communities
Public Art Saint Paul,Multidisciplinary,"Design arts, urban/metro",Arts Service Organization,,http://www.publicartstpaul.org/,(651) 290-0921 ,colleen@publicartstpaul.org,,381 Wabasha St N,,St Paul,MN,55102,"Colleen Sheehy, Executive Director","Public Art Saint Paul makes Saint Paul a better city by placing artists in leading roles to shape public spaces, improve city systems, and deepen civic engagement.",71353,2019,Public Art Saint Paul,Public Art Saint Paul
Ragamala Dance,Dance,"Music, ethnic/folk-inspired",Performing Group,,https://www.ragamaladance.org/,(612) 964-9213 ,tamara@ragamaladance.org,,711 Lake St W,Ste 309,Minneapolis,MN,55408-2975,"Tamara Nadel, Inst Development Director","Ragamala creates interdisciplinary, intercultural dance landscapes at the nexus of ancestral wisdom and creative freedom. Rooted in the South Indian dance form of Bharatanatyam, Ragamala serves audiences, artists, and students at home in the Twin Cities, and on tour worldwide.",73543,2019,Ragamala Dance,Ragamala Dance
Rain Taxi Review of Books,Literature,Interdisciplinary,Literary Magazine,Arts Service Organization,https://www.raintaxi.com/,(612) 825-1528 ,kelly@raintaxi.com,info@raintaxi.com,PO Box 3840,,Minneapolis,MN,55403,"Kelly Everding, Art Director",Rain Taxi champions aesthetically adventurous literature.,73336,2019,"Rain Taxi, Inc.","Rain Taxi, Inc."
Red Eye Theater,"Theater, general",Interdisciplinary,Performing Group,,https://www.redeyetheater.org/,(612) 870-7531 ,rachel@redeyetheater.org,staff@redeyetheater.org,15 14th St W,,Minneapolis,MN,55403-2301,"Rachel Jendrzejewski, Leadership Team",Red Eye is a multidisciplinary creative laboratory dedicated to the creation and presentation of pioneering theater and performance work.,73549,2019,Red Eye Collaboration,Red Eye Collaboration
The Tweed Museum of Art,Visual arts,"Design arts, graphic",Museum - Art,College/University,http://www.d.umn.edu/tma/,(218) 726-7823 ,kbloom@d.umn.edu,,1201 Ordean Ct,,Duluth,MN,55812-3041,"Ken Bloom, Director","The Tweed Museum of Art, University of Minnesota Duluth, functions as an innovative cultural catalyst in the Upper Midwest region by collecting, preserving, and interpreting art from around the world and developing exhibitions and programs for education in the arts.",73069,2019,Regents of the University of Minnesota-Duluth-Tweed Museum of Art,Regents of the University of Minnesota-Duluth-Tweed Museum of Art
Goldstein Museum of Design,Design arts,Multidisciplinary,Gallery/Exhibition Space,College/University,http://goldstein.design.umn.edu/,(612) 624-3282 ,lnelsonm@umn.edu,awards@umn.edu,1985 Buford Ave,364 McNeal Hall,St Paul,MN,55108-6134,"Lin Nelson-Mayson, Director","MISSION: Goldstein Museum of Design uses the power of design to foster improved quality of life for individuals and communities. IMPACT: Through design, Goldstein Museum of Design inspires empathy for others and advances knowledge.",72882,2019,Regents of the University of Minnesota-Goldstein Museum of Design,Regents of the University of Minnesota-Goldstein Museum of Design
Northrop,Multidisciplinary,Music,Performance Facility,College/University,http://www.northrop.umn.edu/,(612) 625-6600 ,kschlone@umn.edu,,84 Church St SE,Ste 90,Minneapolis,MN,55455,"Kari Schloner, President, Northrop","Northrop is a center of discovery and transformation that connects the University of Minnesota and communities beyond by celebrating innovation in the arts, performance, and academics. ",72749,2019,Regents of the University of Minnesota-Northrop,Regents of the University of Minnesota-Northrop
Weisman Art Museum,Visual arts,Interdisciplinary,Museum - Art,College/University,http://www.wam.umn.edu/,(612) 625-9494 ,kingx001@umn.edu,Gwen@sutte001@umn.edu,333 East River Rd,,Minneapolis,MN,55455-0367,"Lyndel King, Director","The Weisman Art Museum (WAM) creates art experiences that spark discovery, critical thinking, and transformation, linking the university and the community.",73584,2019,Regents of the University of Minnesota-Weisman Art Museum,Regents of the University of Minnesota-Weisman Art Museum
Reif Center,Multidisciplinary,,Arts Council/Agency,,https://www.reifcenter.org/,(218) 327-5780 ,sdow@reifcenter.org,,720 NW Conifer Dr,,Grand Rapids,MN,55744-2475,"Shantel Dow, Executive Director","The Reif Arts Council's mission statement is:  Stimulating Arts in Northern Minnesota. The underlying principle guiding our mission is to offer a diverse mix of performing and visual arts to be experienced, exhibited and taught.",73333,2019,Reif Arts Council,Reif Arts Council
Rochester Art Center,Visual arts,,Arts Center,Gallery/Exhibition Space,https://www.rochesterartcenter.org/,(507) 282-8629 ,baustin@rochesterartcenter.org,,40 Civic Center Dr SE,,Rochester,MN,55904-3773,"Brian Austin, Executive Director","Rochester Art Center offers the opportunity for all people to understand and value the arts through innovative experiences with contemporary art. Through world class exhibitions and programs, we present a welcoming, integrated, and diverse experience that encourages questioning, creativity, and critical thinking. Our exhibitions and programs are designed to reflect the dynamic relationship between art and society. They educate, challenge and connect individuals to our world in compelling new ways. We are committed to being a cultural center in our community and to enhancing our region as a destination for creativity and innovation. We provide value through engagement with broad communities and strong collaborations.",73024,2019,Rochester Art Center,Rochester Art Center
The Rochester Civic Theatre Company,"Theater, general",Theater for young audiences,Performing Group - Community,Performance Facility,http://www.rochestercivictheatre.org/,(507) 282-8481 ,sinead@rochestercivictheatre.org,,20 Civic Center Dr SE,,Rochester,MN,55904-3773,"Sinead Chick, Company Operations Manager","The Rochester Civic Theatre Company is a non-profit organization that educates and enriches the adults and young people of Rochester and southeastern Minnesota through the production and presentation of live theater, music, and dance.",73298,2019,Rochester Civic Theatre,Rochester Civic Theatre
Rochester Symphony,"Music, orchestral","Music, chamber",Performing Group,,https://www.rochestersymphony.org/,(507) 286-8742 ,stephaniek@rochestersymphony.org,,1530 Greenview Dr SW,Ste 120,Rochester,MN,55902,"Stephanie Kilen, Audience Development Director",We bring great music to life!,73301,2019,Rochester Symphony Orchestra and Chorale,Rochester Symphony Orchestra and Chorale
Saint John's University Fine Arts Programming,Multidisciplinary,Visual arts,Arts Center,College/University,https://www.csbsju.edu/fine-arts/,(320) 363-5030 ,lhanlon@csbsju.edu,tgertz001@csbsju.edu,2850 Abbey Plz,PO Box 2000,Collegeville,MN,56321-2000,"Leslie Hanlon, Fundraising/Marketing Director","The mission of Fine Arts Programming (FAP) at Saint John's University (SJU) is to provide a wealth of creative activities and art that make life in central Minnesota even richer. Through the performing and visual arts series, SJU provides community wide opportunities for interaction with leading, national artists through residencies and outreach, exhibitions, pre/post discussions and performances. FAP is a joint department between Saint John's University and the College of Saint Benedict, sharing staff and marketing materials, however each institution has a separate 501(c)3 and each institution maintains separate budgets and season programming for the Fine Arts Series, Visual Arts Series, and engagement programs.",72713,2019,Saint John's University,Saint John's University
Minnesota Conservatory for the Arts,"Theater, general",,School of the Arts,,http://www.mnconservatoryforthearts.org/,(507) 453-5501 ,jschwaba@smumn.edu,,1164 10th St W,,Winona,MN,55987,"Jamie Schwaba, Managing Director","The Minnesota Conservatory for the Arts exists to provide quality arts education and performance by nurturing and encouraging artistic expression in children and adults. Our service to the community ranges from recreational to pre-professional performing and visual arts curriculum as well as programming designed to provide physical and aesthetic benefits, heightened self-respect, discipline, and confidence.",73146,2019,"Saint Mary's University of Minnesota, Minnesota Conservatory for the Arts","Saint Mary's University of Minnesota, Minnesota Conservatory for the Arts"
